Trial #,Senario,PM2.5,PM1.0,PM10,HCHO,TVOC,AQI,Temperature,Humidity
1,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,97,63,114,0.681,5,6,27.1,36
2,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,96,62,112,0.712,5,6,27.1,39
3,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,98,63,111,0.721,5,6,27.2,42
4,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,95,61,109,0.757,5,6,27.4,49
5,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,55,36,66,0.604,4.592,6,27.4,76
6,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,51,34,63,0.623,4.77,6,27.6,77
7,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,51,33,61,0.63,4.824,6,27.6,77
8,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,49,33,60,0.637,4.888,6,27.7,77
9,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,48,31,59,0.641,4.924,6,27.7,78
10,Ice with Steaming Water for a change in HUMIDITY AND TEMPERATURE,48,31,58,0.643,4.934,6,27.7,78